corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
CID22-train	1001682.png	512	512	Default	5	0	8614	12088	0.712608
CID22-train	1028637.png	512	512	Default	5	0	8494	10240	0.829492
CID22-train	1029604.png	512	512	Default	5	0	12582	13740	0.915721
CID22-train	106399.png	512	512	Default	5	0	9950	11224	0.886493
CID22-train	1080721.png	512	512	Default	5	0	8038	8382	0.958960
CID22-train	1082342.png	512	512	Default	5	0	12094	13554	0.892283
CID22-train	1089930.png	512	512	Default	5	0	7758	7904	0.981528
CID22-train	110472.png	512	512	Default	5	0	8282	9180	0.902179
CID22-train	1129482.png	512	512	Default	5	0	4328	5242	0.825639
CID22-train	1130683.png	512	512	Default	5	0	17502	20246	0.864467
CID22-train	1147124.png	512	512	Default	5	0	13334	14086	0.946614
CID22-train	1173777.png	512	512	Default	5	0	14638	15510	0.943778
CID22-train	1183021.png	512	512	Default	5	0	2988	3862	0.773692
CID22-train	1200348.png	512	512	Default	5	0	4460	4742	0.940531
CID22-train	1248582.png	512	512	Default	5	0	12674	13424	0.944130
CID22-train	1277396.png	512	512	Default	5	0	5802	7002	0.828620
CID22-train	1287145.png	512	512	Default	5	0	6730	9374	0.717943
CID22-train	1292115.png	512	512	Default	5	0	2460	2910	0.845361
CID22-train	1370704.png	512	512	Default	5	0	10840	13878	0.781092
CID22-train	1391487.png	512	512	Default	5	0	7768	8320	0.933654
CID22-train	1424246.png	512	512	Default	5	0	7386	7874	0.938024
CID22-train	1428647.png	512	512	Default	5	0	8558	10194	0.839513
CID22-train	144200.png	512	512	Default	5	0	3548	4264	0.832083
CID22-train	144428.png	512	512	Default	5	0	7292	8220	0.887105
CID22-train	1454613116.png	512	512	Default	5	0	9818	7466	1.315028
CID22-train	1454804.png	512	512	Default	5	0	4108	3814	1.077084
CID22-train	1459534.png	512	512	Default	5	0	22400	26122	0.857515
CID22-train	146083.png	512	512	Default	5	0	13140	14986	0.876818
CID22-train	14768480444_bc0a1b4a2e_o.png	512	512	Default	5	0	15124	16330	0.926148
CID22-train	1484678.png	512	512	Default	5	0	7320	8132	0.900148
CID22-train	1536017106.png	512	512	Default	5	0	9078	11610	0.781912
CID22-train	1545529.png	512	512	Default	5	0	5584	6164	0.905905
CID22-train	1546166.png	512	512	Default	5	0	13114	14834	0.884050
CID22-train	1570264.png	512	512	Default	5	0	10250	9640	1.063278
CID22-train	1583244.png	512	512	Default	5	0	5694	7188	0.792154
CID22-train	1583339.png	512	512	Default	5	0	7754	8906	0.870649
CID22-train	159741.png	512	512	Default	5	0	9720	10080	0.964286
CID22-train	1599791.png	512	512	Default	5	0	8698	9324	0.932861
CID22-train	160577.png	512	512	Default	5	0	7842	8628	0.908901
CID22-train	1618269.png	512	512	Default	5	0	12352	13440	0.919048
CID22-train	1624307.png	512	512	Default	5	0	14056	15096	0.931108
CID22-train	162511.png	512	512	Default	5	0	20542	21724	0.945590
CID22-train	164338.png	512	512	Default	5	0	20374	19570	1.041083
CID22-train	1661950.png	512	512	Default	5	0	9826	11002	0.893110
CID22-train	167491.png	512	512	Default	5	0	12072	12586	0.959161
CID22-train	1687147.png	512	512	Default	5	0	6798	7492	0.907368
CID22-train	169647.png	512	512	Default	5	0	12356	16602	0.744248
CID22-train	1722183.png	512	512	Default	5	0	10912	11076	0.985193
CID22-train	1796698.png	512	512	Default	5	0	10840	11868	0.913381
CID22-train	1910225.png	512	512	Default	5	0	5230	5746	0.910198
CID22-train	1938351.png	512	512	Default	5	0	3460	3712	0.932112
CID22-train	1943411.png	512	512	Default	5	0	10002	11208	0.892398
CID22-train	1963557.png	512	512	Default	5	0	12200	8628	1.414001
CID22-train	2020432.png	512	512	Default	5	0	2488	2848	0.873596
CID22-train	2062426.png	512	512	Default	5	0	11016	10696	1.029918
