corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
clic2025	02809272b4ca9b08af45771501b741296187c7e26907efb44abbbfcb6cd804f7.png	1024	1024	Default	5	0	63364	70126	0.903574
clic2025	0369d229ba4c9965d5caeb38c359a027a810968eee930b81520b604e76b4df14.png	1024	1024	Default	5	0	16066	17362	0.925354
clic2025	07b9f93f170a0381836bdf301280a5b80b2c4be6e66f793a3c335dc200fb4e5b.png	1024	1024	Default	5	0	30726	44008	0.698191
clic2025	097cb426910ba8ce2525dd8bb7fb1777.png	1024	1024	Default	5	0	7842	8520	0.920423
clic2025	0c49a5cce349020bbba2f97ae41e90ba.png	1024	1024	Default	5	0	33182	34066	0.974050
clic2025	0d154749c7771f58e89ad343653ec4e20d6f037da829f47f5598e5d0a4ab61f0.png	1024	1024	Default	5	0	31324	32072	0.976677
clic2025	100a02c269c5948392f283b2aa3bb4da.png	1024	1024	Default	5	0	27750	29016	0.956369
clic2025	100f17892cf7bb12beb12479641fcc4c.png	1024	1024	Default	5	0	8744	10404	0.840446
clic2025	11f2b039b293758398b1a7a8afa64bb2.png	1024	1024	Default	5	0	20262	25782	0.785897
clic2025	14ab4af28901fbeb1356b06d2d08ae06.png	1024	1024	Default	5	0	31918	37786	0.844704
clic2025	1b4ad095795ac552b38a21d51be7bfaee8e7d0a70619d84767814321df4ed062.png	1024	1024	Default	5	0	20244	26302	0.769675
clic2025	1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png	1024	1024	Default	5	0	11704	11766	0.994731
clic2025	1e2f9d41529197f10d32bfa68a1e0bcc.png	1024	1024	Default	5	0	142720	161542	0.883485
clic2025	22ea12c903e41583b7c469cb86040157.png	1024	1024	Default	5	0	18144	16476	1.101238
clic2025	2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png	1024	1024	Default	5	0	40344	47398	0.851175
clic2025	2684452db505ddbbb53f42a3f3bcfe86fdd0d6d8d98c029db4b4c6fc1f55b750.png	1024	1024	Default	5	0	36394	42370	0.858957
clic2025	28d24b9c83de066597ff96a68769884f.png	1024	1024	Default	5	0	16262	16764	0.970055
clic2025	2a2420f929cd47122eae364a2bc27710.png	1024	1024	Default	5	0	16270	17448	0.932485
clic2025	2a760bf1ccea6998be3890dcc2371b23f35fe3006562884b45bc534a621d5c12.png	1024	1024	Default	5	0	10164	11248	0.903627
clic2025	2c1f84548ef99faec2b4f9bf12227c83.png	1024	1024	Default	5	0	19006	19920	0.954116
clic2025	3140d643a1f57e80ff265507984d95a0.png	1024	1024	Default	5	0	16176	17298	0.935137
clic2025	4a18abf66d65ad1a95ce455c8b6cd8de.png	1024	1024	Default	5	0	48778	53418	0.913138
clic2025	4cd6910a0b7b39365fda5df87618d091.png	1024	1024	Default	5	0	49056	52802	0.929056
clic2025	4ebc0e6c463bcf8ada38673c268aae56d44864347fd74b81a9fb5659bf96a010.png	1024	1024	Default	5	0	16852	18222	0.924816
