corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
cid22	1001682.png	512	512	Default	25	0	17712	26758	0.661933
cid22	1129482.png	512	512	Default	25	0	6698	8182	0.818626
cid22	1287145.png	512	512	Default	25	0	13928	20614	0.675657
cid22	1454804.png	512	512	Default	25	0	7298	6946	1.050677
cid22	1570264.png	512	512	Default	25	0	25016	25662	0.974827
cid22	162511.png	512	512	Default	25	0	37364	39744	0.940117
cid22	1938351.png	512	512	Default	25	0	6518	7564	0.861713
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	0	22138	23122	0.957443
cid22	225284.png	512	512	Default	25	0	33238	39248	0.846871
cid22	2471234.png	512	512	Default	25	0	5244	5292	0.990930
cid22	262780.png	512	512	Default	25	0	15748	16866	0.933713
cid22	3004909.png	512	512	Default	25	0	17486	19264	0.907703
cid22	3363331.png	512	512	Default	25	0	14082	16968	0.829915
cid22	3623285.png	512	512	Default	25	0	13946	15426	0.904058
cid22	45258.png	512	512	Default	25	0	12988	15236	0.852455
cid22	5212582.png	512	512	Default	25	0	3064	2960	1.035135
cid22	60003.png	512	512	Default	25	0	14244	16986	0.838573
cid22	7062197.png	512	512	Default	25	0	18088	18922	0.955924
cid22	7394483.png	512	512	Default	25	0	9778	10666	0.916745
cid22	EPICA Delta D Plot.png	512	512	Default	25	0	17622	17364	1.014858
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	0	18050	19498	0.925736
cid22	pexels-photo-1933873.png	512	512	Default	25	0	17022	19194	0.886840
cid22	pexels-photo-3193731.png	512	512	Default	25	0	16384	20086	0.815693
cid22	pexels-photo-4354221.png	512	512	Default	25	0	19360	21536	0.898960
cid22	pexels-photo-7078290.png	512	512	Default	25	0	20682	17284	1.196598
cid22	1001682.png	512	512	Default	25	4	16536	16152	1.023774
cid22	1129482.png	512	512	Default	25	4	5208	5024	1.036624
cid22	1287145.png	512	512	Default	25	4	12980	12704	1.021725
cid22	1454804.png	512	512	Default	25	4	5220	4994	1.045254
cid22	1570264.png	512	512	Default	25	4	23784	23230	1.023848
cid22	162511.png	512	512	Default	25	4	31424	31156	1.008602
cid22	1938351.png	512	512	Default	25	4	5426	5286	1.026485
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	4	17958	17726	1.013088
cid22	225284.png	512	512	Default	25	4	30716	30886	0.994496
cid22	2471234.png	512	512	Default	25	4	4766	4508	1.057232
cid22	262780.png	512	512	Default	25	4	14792	14192	1.042277
cid22	3004909.png	512	512	Default	25	4	14058	13478	1.043033
cid22	3363331.png	512	512	Default	25	4	11960	11732	1.019434
cid22	3623285.png	512	512	Default	25	4	11422	10882	1.049623
cid22	45258.png	512	512	Default	25	4	10440	10058	1.037980
cid22	5212582.png	512	512	Default	25	4	2638	2504	1.053514
cid22	60003.png	512	512	Default	25	4	11006	10506	1.047592
cid22	7062197.png	512	512	Default	25	4	13900	13552	1.025679
cid22	7394483.png	512	512	Default	25	4	7558	7308	1.034209
cid22	EPICA Delta D Plot.png	512	512	Default	25	4	12956	12248	1.057805
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	4	15422	15018	1.026901
cid22	pexels-photo-1933873.png	512	512	Default	25	4	13054	12906	1.011468
cid22	pexels-photo-3193731.png	512	512	Default	25	4	13712	13228	1.036589
cid22	pexels-photo-4354221.png	512	512	Default	25	4	15730	15160	1.037599
cid22	pexels-photo-7078290.png	512	512	Default	25	4	14812	14526	1.019689
cid22	1001682.png	512	512	Default	25	6	14660	15014	0.976422
cid22	1129482.png	512	512	Default	25	6	4934	4772	1.033948
cid22	1287145.png	512	512	Default	25	6	11650	11434	1.018891
cid22	1454804.png	512	512	Default	25	6	5050	4702	1.074011
cid22	1570264.png	512	512	Default	25	6	20166	20648	0.976656
cid22	162511.png	512	512	Default	25	6	28742	29064	0.988921
cid22	1938351.png	512	512	Default	25	6	5268	5098	1.033346
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	6	17200	16916	1.016789
cid22	225284.png	512	512	Default	25	6	27626	28518	0.968722
cid22	2471234.png	512	512	Default	25	6	4762	4486	1.061525
cid22	262780.png	512	512	Default	25	6	13190	13088	1.007793
cid22	3004909.png	512	512	Default	25	6	13124	12586	1.042746
cid22	3363331.png	512	512	Default	25	6	11048	10874	1.016001
cid22	3623285.png	512	512	Default	25	6	10390	9990	1.040040
cid22	45258.png	512	512	Default	25	6	10064	9526	1.056477
cid22	5212582.png	512	512	Default	25	6	2638	2480	1.063710
cid22	60003.png	512	512	Default	25	6	10534	10004	1.052979
cid22	7062197.png	512	512	Default	25	6	13150	12842	1.023984
cid22	7394483.png	512	512	Default	25	6	7284	7014	1.038494
cid22	EPICA Delta D Plot.png	512	512	Default	25	6	12412	11698	1.061036
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	6	14604	14248	1.024986
cid22	pexels-photo-1933873.png	512	512	Default	25	6	12306	12164	1.011674
cid22	pexels-photo-3193731.png	512	512	Default	25	6	12912	12548	1.029009
cid22	pexels-photo-4354221.png	512	512	Default	25	6	14716	14352	1.025362
cid22	pexels-photo-7078290.png	512	512	Default	25	6	13738	13664	1.005416
cid22	1001682.png	512	512	Default	50	0	28274	43188	0.654673
cid22	1129482.png	512	512	Default	50	0	9014	10452	0.862419
cid22	1287145.png	512	512	Default	50	0	22614	31740	0.712476
cid22	1454804.png	512	512	Default	50	0	10368	10282	1.008364
cid22	1570264.png	512	512	Default	50	0	41064	42600	0.963944
cid22	162511.png	512	512	Default	50	0	52470	53800	0.975279
cid22	1938351.png	512	512	Default	50	0	9964	11304	0.881458
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	0	31196	32152	0.970266
cid22	225284.png	512	512	Default	50	0	50524	53728	0.940366
cid22	2471234.png	512	512	Default	50	0	7458	7588	0.982868
cid22	262780.png	512	512	Default	50	0	26520	26920	0.985141
cid22	3004909.png	512	512	Default	50	0	24776	26580	0.932129
cid22	3363331.png	512	512	Default	50	0	22186	25254	0.878514
cid22	3623285.png	512	512	Default	50	0	21028	22556	0.932257
cid22	45258.png	512	512	Default	50	0	19412	22010	0.881963
cid22	5212582.png	512	512	Default	50	0	4186	4086	1.024474
cid22	60003.png	512	512	Default	50	0	20858	23698	0.880159
cid22	7062197.png	512	512	Default	50	0	26228	26308	0.996959
cid22	7394483.png	512	512	Default	50	0	14638	15932	0.918780
cid22	EPICA Delta D Plot.png	512	512	Default	50	0	23094	22790	1.013339
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	0	25038	25996	0.963148
cid22	pexels-photo-1933873.png	512	512	Default	50	0	25118	27506	0.913183
cid22	pexels-photo-3193731.png	512	512	Default	50	0	24998	28366	0.881266
cid22	pexels-photo-4354221.png	512	512	Default	50	0	27944	29738	0.939673
cid22	pexels-photo-7078290.png	512	512	Default	50	0	30396	26274	1.156885
cid22	1001682.png	512	512	Default	50	4	26080	25908	1.006639
cid22	1129482.png	512	512	Default	50	4	7166	6986	1.025766
cid22	1287145.png	512	512	Default	50	4	21452	21028	1.020164
cid22	1454804.png	512	512	Default	50	4	7218	7030	1.026743
cid22	1570264.png	512	512	Default	50	4	40556	38974	1.040591
cid22	162511.png	512	512	Default	50	4	45932	45578	1.007767
cid22	1938351.png	512	512	Default	50	4	8270	8062	1.025800
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	4	25948	25526	1.016532
cid22	225284.png	512	512	Default	50	4	47228	47422	0.995909
cid22	2471234.png	512	512	Default	50	4	6516	6310	1.032647
cid22	262780.png	512	512	Default	50	4	24640	24502	1.005632
cid22	3004909.png	512	512	Default	50	4	20524	19850	1.033955
cid22	3363331.png	512	512	Default	50	4	19272	18868	1.021412
cid22	3623285.png	512	512	Default	50	4	17530	17116	1.024188
cid22	45258.png	512	512	Default	50	4	15888	15436	1.029282
cid22	5212582.png	512	512	Default	50	4	3606	3390	1.063717
cid22	60003.png	512	512	Default	50	4	16324	15956	1.023063
cid22	7062197.png	512	512	Default	50	4	20570	20182	1.019225
cid22	7394483.png	512	512	Default	50	4	11210	10874	1.030899
cid22	EPICA Delta D Plot.png	512	512	Default	50	4	17282	16764	1.030900
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	4	21616	21026	1.028060
cid22	pexels-photo-1933873.png	512	512	Default	50	4	20004	19802	1.010201
cid22	pexels-photo-3193731.png	512	512	Default	50	4	21098	20984	1.005433
cid22	pexels-photo-4354221.png	512	512	Default	50	4	23116	22706	1.018057
cid22	pexels-photo-7078290.png	512	512	Default	50	4	23062	22690	1.016395
cid22	1001682.png	512	512	Default	50	6	24136	24604	0.980979
cid22	1129482.png	512	512	Default	50	6	6800	6698	1.015228
cid22	1287145.png	512	512	Default	50	6	19566	19414	1.007829
