file	width	height	preset	q	m	zen_def_b	zen_strict_b	lib_b	def_butter	strict_butter	lib_butter	def_size_ratio	strict_size_ratio	def_butter_delta	strict_butter_delta
cid22/1001682.png	512	512	Default	25	0	17644	17644	26758	5.3606	5.3606	4.7511	0.6594	0.6594	+0.6095	+0.6095
cid22/1001682.png	512	512	Default	25	4	16236	16160	16152	4.8585	4.9382	5.1710	1.0052	1.0005	-0.3125	-0.2327
cid22/1001682.png	512	512	Default	25	6	14552	14624	15014	5.0410	4.8565	5.2723	0.9692	0.9740	-0.2313	-0.4158
cid22/1001682.png	512	512	Default	75	0	37994	37994	64672	2.7134	2.7134	2.6974	0.5875	0.5875	+0.0161	+0.0161
cid22/1001682.png	512	512	Default	75	4	35788	35342	35268	2.9925	2.6569	2.8538	1.0147	1.0021	+0.1388	-0.1969
cid22/1001682.png	512	512	Default	75	6	33488	33390	33576	2.7684	2.7862	2.8433	0.9974	0.9945	-0.0749	-0.0571
cid22/1001682.png	512	512	Default	90	0	69448	69448	98734	1.4423	1.4423	1.5605	0.7034	0.7034	-0.1182	-0.1182
cid22/1001682.png	512	512	Default	90	4	69658	69968	69496	1.5767	1.5829	1.4375	1.0023	1.0068	+0.1392	+0.1454
cid22/1001682.png	512	512	Default	90	6	67984	67762	68352	1.5679	1.5678	1.4237	0.9946	0.9914	+0.1441	+0.1441
cid22/1001682.png	512	512	Photo	25	0	16638	16638	25946	6.1831	6.1831	6.1510	0.6413	0.6413	+0.0321	+0.0321
cid22/1001682.png	512	512	Photo	25	4	15288	15288	15296	5.5477	5.6707	5.2757	0.9995	0.9995	+0.2720	+0.3950
cid22/1001682.png	512	512	Photo	25	6	13998	13802	14192	5.3346	5.4882	5.3491	0.9863	0.9725	-0.0145	+0.1392
cid22/1001682.png	512	512	Photo	75	0	37110	37110	60482	2.9303	2.9303	2.9035	0.6136	0.6136	+0.0267	+0.0267
cid22/1001682.png	512	512	Photo	75	4	34450	34544	34486	2.9879	2.9839	2.8868	0.9990	1.0017	+0.1010	+0.0970
cid22/1001682.png	512	512	Photo	75	6	32720	32730	32908	3.3671	3.0328	2.9042	0.9943	0.9946	+0.4628	+0.1286
cid22/1001682.png	512	512	Photo	90	0	69870	69870	99080	1.5827	1.5827	1.5605	0.7052	0.7052	+0.0222	+0.0222
cid22/1001682.png	512	512	Photo	90	4	69764	70232	69734	1.4665	1.5131	1.3957	1.0004	1.0071	+0.0708	+0.1174
cid22/1001682.png	512	512	Photo	90	6	67964	67866	68256	1.6550	1.6550	1.5854	0.9957	0.9943	+0.0696	+0.0696
cid22/1028637.png	512	512	Default	25	0	14578	14578	18064	5.8509	5.8509	6.0968	0.8070	0.8070	-0.2459	-0.2459
cid22/1028637.png	512	512	Default	25	4	12778	12708	12624	6.4049	6.7634	7.0450	1.0122	1.0067	-0.6401	-0.2815
cid22/1028637.png	512	512	Default	25	6	11872	11800	11800	6.7955	6.6491	6.6067	1.0061	1.0000	+0.1887	+0.0424
cid22/1028637.png	512	512	Default	75	0	26744	26744	31376	4.0760	4.0760	3.6299	0.8524	0.8524	+0.4461	+0.4461
cid22/1028637.png	512	512	Default	75	4	25036	25036	24934	4.4947	3.8322	4.1186	1.0041	1.0041	+0.3761	-0.2864
cid22/1028637.png	512	512	Default	75	6	23710	23712	23826	3.7390	3.9508	3.9523	0.9951	0.9952	-0.2133	-0.0015
cid22/1028637.png	512	512	Default	90	0	44440	44440	50078	3.2389	3.2389	3.2520	0.8874	0.8874	-0.0131	-0.0131
cid22/1028637.png	512	512	Default	90	4	44328	44164	43986	3.2835	3.5141	3.3823	1.0078	1.0040	-0.0988	+0.1317
cid22/1028637.png	512	512	Default	90	6	43496	43124	43232	3.3394	3.3251	3.1253	1.0061	0.9975	+0.2141	+0.1998
cid22/1028637.png	512	512	Photo	25	0	13710	13710	17776	7.0944	7.0944	7.3590	0.7713	0.7713	-0.2645	-0.2645
cid22/1028637.png	512	512	Photo	25	4	12002	11886	11810	6.0230	6.3309	6.2911	1.0163	1.0064	-0.2681	+0.0398
cid22/1028637.png	512	512	Photo	25	6	11224	11166	11104	7.0638	7.0543	6.5551	1.0108	1.0056	+0.5087	+0.4992
cid22/1028637.png	512	512	Photo	75	0	25632	25632	30838	3.9145	3.9145	3.7447	0.8312	0.8312	+0.1697	+0.1697
cid22/1028637.png	512	512	Photo	75	4	24016	24072	23952	4.4198	3.9681	4.2349	1.0027	1.0050	+0.1848	-0.2668
cid22/1028637.png	512	512	Photo	75	6	22670	22628	22780	4.2250	4.1651	4.2303	0.9952	0.9933	-0.0052	-0.0652
cid22/1028637.png	512	512	Photo	90	0	43626	43626	49974	3.4620	3.4620	3.2110	0.8730	0.8730	+0.2511	+0.2511
cid22/1028637.png	512	512	Photo	90	4	43180	43380	43162	3.3160	3.3857	3.1519	1.0004	1.0051	+0.1642	+0.2338
cid22/1028637.png	512	512	Photo	90	6	42002	41806	41894	3.1699	3.2700	3.1870	1.0026	0.9979	-0.0171	+0.0830
cid22/1029604.png	512	512	Default	25	0	22674	22674	25510	4.9098	4.9098	5.7798	0.8888	0.8888	-0.8700	-0.8700
cid22/1029604.png	512	512	Default	25	4	17618	17862	17908	5.5969	5.0459	4.8928	0.9838	0.9974	+0.7041	+0.1531
cid22/1029604.png	512	512	Default	25	6	16752	16984	17018	5.6759	5.0760	5.3299	0.9844	0.9980	+0.3459	-0.2540
cid22/1029604.png	512	512	Default	75	0	42482	42482	45402	2.8496	2.8496	2.9034	0.9357	0.9357	-0.0538	-0.0538
cid22/1029604.png	512	512	Default	75	4	37788	38118	38202	2.8201	2.4116	2.4180	0.9892	0.9978	+0.4021	-0.0064
cid22/1029604.png	512	512	Default	75	6	34998	35134	35528	2.6270	2.5370	2.6904	0.9851	0.9889	-0.0634	-0.1534
cid22/1029604.png	512	512	Default	90	0	79964	79964	80462	1.4116	1.4116	1.7922	0.9938	0.9938	-0.3806	-0.3806
cid22/1029604.png	512	512	Default	90	4	80152	79764	79438	1.2987	1.2994	1.2674	1.0090	1.0041	+0.0312	+0.0320
cid22/1029604.png	512	512	Default	90	6	74134	74568	75306	1.3661	1.3667	1.3532	0.9844	0.9902	+0.0129	+0.0135
cid22/1029604.png	512	512	Photo	25	0	22786	22786	26204	5.5010	5.5010	6.8237	0.8696	0.8696	-1.3227	-1.3227
cid22/1029604.png	512	512	Photo	25	4	18012	18036	17836	5.3932	5.0589	5.4093	1.0099	1.0112	-0.0162	-0.3504
