corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	size_ratio	zen_encode_ms	lib_encode_ms	speed_ratio	zen_butter	lib_butter	butter_delta	zen_ssim2	lib_ssim2	ssim2_delta
cid22	1001682.png	512	512	Default	25	0	17628	26758	0.658794	5.922	2.870	2.0635	4.9585	4.7511	0.2073	45.2097	47.8414	-2.6317
cid22	1200348.png	512	512	Default	25	0	7222	8376	0.862225	4.930	2.395	2.0583	6.4324	5.6162	0.8162	51.2891	53.4515	-2.1624
cid22	146083.png	512	512	Default	25	0	25788	29914	0.862071	6.100	3.347	1.8227	5.0887	6.4951	-1.4064	53.6816	56.2426	-2.5609
cid22	162511.png	512	512	Default	25	0	36982	39744	0.930505	7.377	4.032	1.8296	4.6999	6.0953	-1.3954	52.5471	51.8613	0.6858
cid22	207691.png	512	512	Default	25	0	22796	23448	0.972194	6.179	2.977	2.0752	4.8299	4.9461	-0.1162	54.4080	55.2308	-0.8229
cid22	2290070.png	512	512	Default	25	0	13486	14482	0.931225	5.398	2.531	2.1326	5.8315	4.9078	0.9237	54.5276	55.0832	-0.5556
cid22	262780.png	512	512	Default	25	0	15400	16866	0.913080	5.424	2.710	2.0014	5.4813	5.8289	-0.3477	34.9664	38.7295	-3.7631
cid22	3316926_opo25u.png	512	512	Default	25	0	7060	7814	0.903507	4.855	2.243	2.1649	8.2599	7.6547	0.6052	54.0545	54.5244	-0.4700
cid22	3779828.png	512	512	Default	25	0	35552	36492	0.974241	7.120	3.837	1.8557	4.8174	4.6514	0.1660	49.9667	51.4017	-1.4350
cid22	5212582.png	512	512	Default	25	0	2964	2960	1.001351	4.229	1.874	2.2568	5.6291	5.1595	0.4696	57.2296	56.6646	0.5651
cid22	675951.png	512	512	Default	25	0	16572	18744	0.884123	5.807	2.731	2.1262	6.5149	8.2766	-1.7617	57.6922	57.7129	-0.0207
cid22	962312.png	512	512	Default	25	0	21364	26476	0.806919	5.702	2.932	1.9451	4.7149	4.8985	-0.1836	67.6437	70.9094	-3.2657
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	0	17478	19498	0.896400	5.570	2.741	2.0325	5.6158	6.1814	-0.5657	55.4810	57.8201	-2.3391
cid22	pexels-photo-2908983.png	512	512	Default	25	0	5026	5364	0.936987	4.991	2.123	2.3511	5.7158	5.6738	0.0420	47.9387	49.5264	-1.5877
cid22	pexels-photo-4672246.png	512	512	Default	25	0	10568	11916	0.886875	5.154	2.488	2.0718	6.3013	6.3886	-0.0873	48.9254	49.8833	-0.9579
cid22	1001682.png	512	512	Default	25	4	16470	16152	1.019688	16.320	12.129	1.3456	4.7340	5.1710	-0.4369	45.7454	45.7009	0.0445
cid22	1200348.png	512	512	Default	25	4	5922	5792	1.022445	12.668	9.855	1.2855	6.6783	6.5439	0.1343	53.2149	50.6491	2.5659
cid22	146083.png	512	512	Default	25	4	23036	22942	1.004097	18.995	13.732	1.3833	5.3432	5.4762	-0.1329	53.6061	53.2533	0.3528
cid22	162511.png	512	512	Default	25	4	31172	31156	1.000514	19.646	14.802	1.3273	4.5923	5.6822	-1.0899	52.3305	51.7356	0.5949
cid22	207691.png	512	512	Default	25	4	16820	16774	1.002742	16.371	12.358	1.3247	4.9840	5.0114	-0.0274	54.2586	54.2481	0.0105
cid22	2290070.png	512	512	Default	25	4	9376	9240	1.014719	13.381	10.265	1.3036	5.0996	6.0309	-0.9313	54.5351	53.2992	1.2358
cid22	262780.png	512	512	Default	25	4	14444	14192	1.017756	16.500	12.247	1.3473	5.2113	5.5486	-0.3373	34.3473	32.6778	1.6695
cid22	3316926_opo25u.png	512	512	Default	25	4	5968	5862	1.018083	13.075	9.724	1.3446	7.1035	7.2987	-0.1951	53.5797	52.7125	0.8672
cid22	3779828.png	512	512	Default	25	4	29500	29556	0.998105	18.358	13.833	1.3272	4.6235	4.4332	0.1903	49.4046	49.7940	-0.3894
cid22	5212582.png	512	512	Default	25	4	2576	2504	1.028754	10.558	8.362	1.2627	5.6091	5.7048	-0.0958	58.1643	56.8633	1.3009
cid22	675951.png	512	512	Default	25	4	13068	13102	0.997405	15.810	11.834	1.3360	5.7491	6.2784	-0.5293	56.4661	55.6833	0.7828
cid22	962312.png	512	512	Default	25	4	18478	18358	1.006537	13.395	10.724	1.2491	4.0154	4.6221	-0.6067	69.2156	67.4304	1.7852
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	4	14810	15018	0.986150	13.329	10.375	1.2847	6.7163	5.7771	0.9391	55.4689	56.0804	-0.6115
cid22	pexels-photo-2908983.png	512	512	Default	25	4	4578	4484	1.020963	12.649	9.359	1.3515	5.7631	5.9826	-0.2195	49.0373	47.4098	1.6275
cid22	pexels-photo-4672246.png	512	512	Default	25	4	8648	8644	1.000463	14.267	10.505	1.3580	5.5713	5.1625	0.4088	48.4093	47.6265	0.7828
cid22	1001682.png	512	512	Default	25	6	14538	15014	0.968296	29.742	23.991	1.2397	5.0073	5.2723	-0.2650	44.9711	44.7030	0.2680
cid22	1200348.png	512	512	Default	25	6	5862	5656	1.036421	16.781	12.712	1.3201	6.6923	6.4490	0.2433	53.3311	50.3366	2.9945
cid22	146083.png	512	512	Default	25	6	21036	21340	0.985754	37.761	30.921	1.2212	5.2040	5.0614	0.1426	52.8236	53.5334	-0.7098
cid22	162511.png	512	512	Default	25	6	28536	29064	0.981833	43.497	33.787	1.2874	5.9846	4.7257	1.2589	51.7476	51.4874	0.2602
cid22	207691.png	512	512	Default	25	6	15772	15796	0.998481	31.409	25.114	1.2506	4.9401	5.0404	-0.1004	53.4841	53.4263	0.0578
cid22	2290070.png	512	512	Default	25	6	8918	8822	1.010882	22.454	17.450	1.2868	5.5131	5.0456	0.4675	54.7982	52.8947	1.9035
cid22	262780.png	512	512	Default	25	6	12964	13088	0.990526	29.691	22.237	1.3352	5.6871	5.9915	-0.3044	34.1088	33.6691	0.4397
cid22	3316926_opo25u.png	512	512	Default	25	6	5908	5754	1.026764	19.089	13.473	1.4168	7.8319	6.9057	0.9262	54.3464	53.2027	1.1437
cid22	3779828.png	512	512	Default	25	6	26352	27428	0.960770	45.923	36.317	1.2645	4.6971	4.9990	-0.3019	43.8853	46.2900	-2.4047
cid22	5212582.png	512	512	Default	25	6	2592	2480	1.045161	12.765	9.605	1.3290	5.2861	5.8504	-0.5643	58.1718	56.3763	1.7955
cid22	675951.png	512	512	Default	25	6	12720	12624	1.007605	26.002	19.849	1.3100	7.1380	6.3283	0.8097	57.1405	55.6005	1.5401
cid22	962312.png	512	512	Default	25	6	17274	17568	0.983265	28.223	23.738	1.1889	4.1703	4.0836	0.0867	67.1422	66.4509	0.6913
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	6	13962	14248	0.979927	24.150	19.513	1.2376	6.0774	5.8610	0.2164	55.6497	55.6290	0.0207
cid22	pexels-photo-2908983.png	512	512	Default	25	6	4632	4442	1.042774	16.897	11.017	1.5337	6.0167	7.1928	-1.1762	50.1040	48.4753	1.6286
cid22	pexels-photo-4672246.png	512	512	Default	25	6	8384	8248	1.016489	22.212	15.740	1.4112	5.5108	6.4881	-0.9773	48.6190	47.3980	1.2210
cid22	1001682.png	512	512	Default	50	0	28230	43188	0.653654	6.621	3.573	1.8531	3.3734	3.2319	0.1415	61.6769	62.2517	-0.5749
cid22	1200348.png	512	512	Default	50	0	10658	12310	0.865800	4.987	2.265	2.2014	4.1544	4.0349	0.1195	65.4353	65.4964	-0.0610
cid22	146083.png	512	512	Default	50	0	38844	42564	0.912602	7.478	4.182	1.7882	3.4123	4.5960	-1.1836	67.7033	67.8297	-0.1264
cid22	162511.png	512	512	Default	50	0	52250	53800	0.971190	9.185	4.916	1.8683	3.0582	4.1466	-1.0885	65.2744	64.5138	0.7606
cid22	207691.png	512	512	Default	50	0	32882	33918	0.969456	6.808	3.537	1.9245	3.2718	3.6148	-0.3430	66.0277	66.2512	-0.2235
cid22	2290070.png	512	512	Default	50	0	18584	18664	0.995714	5.798	2.838	2.0431	4.1361	3.4431	0.6930	67.2730	67.9459	-0.6728
cid22	262780.png	512	512	Default	50	0	26146	26920	0.971248	6.454	3.318	1.9450	3.8943	4.3078	-0.4135	55.3807	55.9194	-0.5387
cid22	3316926_opo25u.png	512	512	Default	50	0	10564	11644	0.907248	5.268	2.447	2.1531	4.5245	5.1847	-0.6602	66.3141	66.4522	-0.1381
cid22	3779828.png	512	512	Default	50	0	48470	49442	0.980341	8.152	4.645	1.7550	3.0807	2.9836	0.0971	64.7367	65.5061	-0.7694
cid22	5212582.png	512	512	Default	50	0	4102	4086	1.003916	4.496	2.006	2.2415	3.8231	4.5097	-0.6866	67.9653	67.3271	0.6382
cid22	675951.png	512	512	Default	50	0	24116	27104	0.889758	6.665	3.156	2.1120	4.4236	5.1764	-0.7528	68.0709	69.0802	-1.0093
cid22	962312.png	512	512	Default	50	0	28384	32572	0.871423	6.104	3.447	1.7707	2.9536	3.6105	-0.6569	76.9107	77.4139	-0.5032
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	0	24494	25996	0.942222	6.188	3.219	1.9222	5.2385	5.6394	-0.4009	66.8407	67.5721	-0.7315
cid22	pexels-photo-2908983.png	512	512	Default	50	0	7486	7846	0.954117	4.750	2.174	2.1845	4.7493	4.4324	0.3169	62.5024	63.0734	-0.5710
cid22	pexels-photo-4672246.png	512	512	Default	50	0	16324	18072	0.903276	5.761	2.741	2.1020	4.2339	4.4099	-0.1759	63.0387	63.2732	-0.2345
cid22	1001682.png	512	512	Default	50	4	25996	25908	1.003397	17.641	13.407	1.3158	3.6167	3.4451	0.1716	61.1330	60.8408	0.2922
