corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
cid22	1001682.png	512	512	Default	25	0	17628	26758	0.658794
cid22	1129482.png	512	512	Default	25	0	6596	8182	0.806160
cid22	1287145.png	512	512	Default	25	0	13914	20614	0.674978
cid22	1454804.png	512	512	Default	25	0	7122	6946	1.025338
cid22	1570264.png	512	512	Default	25	0	25128	25662	0.979191
cid22	162511.png	512	512	Default	25	0	36982	39744	0.930505
cid22	1938351.png	512	512	Default	25	0	6416	7564	0.848228
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	0	21778	23122	0.941874
cid22	225284.png	512	512	Default	25	0	33534	39248	0.854413
cid22	2471234.png	512	512	Default	25	0	5138	5292	0.970899
cid22	262780.png	512	512	Default	25	0	15400	16866	0.913080
cid22	3004909.png	512	512	Default	25	0	16968	19264	0.880814
cid22	3363331.png	512	512	Default	25	0	13888	16968	0.818482
cid22	3623285.png	512	512	Default	25	0	13542	15426	0.877869
cid22	45258.png	512	512	Default	25	0	12726	15236	0.835259
cid22	5212582.png	512	512	Default	25	0	2964	2960	1.001351
cid22	60003.png	512	512	Default	25	0	14052	16986	0.827270
cid22	7062197.png	512	512	Default	25	0	17712	18922	0.936053
cid22	7394483.png	512	512	Default	25	0	9664	10666	0.906057
cid22	EPICA Delta D Plot.png	512	512	Default	25	0	17018	17364	0.980074
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	0	17478	19498	0.896400
cid22	pexels-photo-1933873.png	512	512	Default	25	0	17004	19194	0.885902
cid22	pexels-photo-3193731.png	512	512	Default	25	0	16200	20086	0.806532
cid22	pexels-photo-4354221.png	512	512	Default	25	0	18916	21536	0.878343
cid22	pexels-photo-7078290.png	512	512	Default	25	0	20380	17284	1.179125
cid22	1001682.png	512	512	Default	25	4	16470	16152	1.019688
cid22	1129482.png	512	512	Default	25	4	5088	5024	1.012739
cid22	1287145.png	512	512	Default	25	4	12834	12704	1.010233
cid22	1454804.png	512	512	Default	25	4	5092	4994	1.019624
cid22	1570264.png	512	512	Default	25	4	23578	23230	1.014981
cid22	162511.png	512	512	Default	25	4	31172	31156	1.000514
cid22	1938351.png	512	512	Default	25	4	5314	5286	1.005297
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	4	17670	17726	0.996841
cid22	225284.png	512	512	Default	25	4	30836	30886	0.998381
cid22	2471234.png	512	512	Default	25	4	4664	4508	1.034605
cid22	262780.png	512	512	Default	25	4	14444	14192	1.017756
cid22	3004909.png	512	512	Default	25	4	13402	13478	0.994361
cid22	3363331.png	512	512	Default	25	4	11774	11732	1.003580
cid22	3623285.png	512	512	Default	25	4	10918	10882	1.003308
cid22	45258.png	512	512	Default	25	4	10216	10058	1.015709
cid22	5212582.png	512	512	Default	25	4	2576	2504	1.028754
cid22	60003.png	512	512	Default	25	4	10684	10506	1.016943
cid22	7062197.png	512	512	Default	25	4	13556	13552	1.000295
cid22	7394483.png	512	512	Default	25	4	7386	7308	1.010673
cid22	EPICA Delta D Plot.png	512	512	Default	25	4	12268	12248	1.001633
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	4	14810	15018	0.986150
cid22	pexels-photo-1933873.png	512	512	Default	25	4	12854	12906	0.995971
cid22	pexels-photo-3193731.png	512	512	Default	25	4	13424	13228	1.014817
cid22	pexels-photo-4354221.png	512	512	Default	25	4	15148	15160	0.999208
cid22	pexels-photo-7078290.png	512	512	Default	25	4	14480	14526	0.996833
cid22	1001682.png	512	512	Default	25	6	14538	15014	0.968296
cid22	1129482.png	512	512	Default	25	6	4838	4772	1.013831
cid22	1287145.png	512	512	Default	25	6	11582	11434	1.012944
cid22	1454804.png	512	512	Default	25	6	4940	4702	1.050617
cid22	1570264.png	512	512	Default	25	6	19974	20648	0.967358
cid22	162511.png	512	512	Default	25	6	28536	29064	0.981833
cid22	1938351.png	512	512	Default	25	6	5188	5098	1.017654
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	6	16860	16916	0.996690
cid22	225284.png	512	512	Default	25	6	27766	28518	0.973631
cid22	2471234.png	512	512	Default	25	6	4680	4486	1.043246
cid22	262780.png	512	512	Default	25	6	12964	13088	0.990526
cid22	3004909.png	512	512	Default	25	6	12602	12586	1.001271
cid22	3363331.png	512	512	Default	25	6	10818	10874	0.994850
cid22	3623285.png	512	512	Default	25	6	9938	9990	0.994795
cid22	45258.png	512	512	Default	25	6	9792	9526	1.027924
cid22	5212582.png	512	512	Default	25	6	2592	2480	1.045161
cid22	60003.png	512	512	Default	25	6	10218	10004	1.021391
cid22	7062197.png	512	512	Default	25	6	12870	12842	1.002180
cid22	7394483.png	512	512	Default	25	6	7096	7014	1.011691
cid22	EPICA Delta D Plot.png	512	512	Default	25	6	11672	11698	0.997777
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	6	13962	14248	0.979927
cid22	pexels-photo-1933873.png	512	512	Default	25	6	12088	12164	0.993752
cid22	pexels-photo-3193731.png	512	512	Default	25	6	12632	12548	1.006694
cid22	pexels-photo-4354221.png	512	512	Default	25	6	14242	14352	0.992336
cid22	pexels-photo-7078290.png	512	512	Default	25	6	13478	13664	0.986388
cid22	1001682.png	512	512	Default	50	0	28230	43188	0.653654
cid22	1129482.png	512	512	Default	50	0	8982	10452	0.859357
cid22	1287145.png	512	512	Default	50	0	22618	31740	0.712602
cid22	1454804.png	512	512	Default	50	0	10214	10282	0.993387
cid22	1570264.png	512	512	Default	50	0	41134	42600	0.965587
cid22	162511.png	512	512	Default	50	0	52250	53800	0.971190
cid22	1938351.png	512	512	Default	50	0	9954	11304	0.880573
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	0	30830	32152	0.958883
cid22	225284.png	512	512	Default	50	0	50816	53728	0.945801
cid22	2471234.png	512	512	Default	50	0	7362	7588	0.970216
cid22	262780.png	512	512	Default	50	0	26146	26920	0.971248
cid22	3004909.png	512	512	Default	50	0	24354	26580	0.916253
cid22	3363331.png	512	512	Default	50	0	21926	25254	0.868219
cid22	3623285.png	512	512	Default	50	0	20716	22556	0.918425
cid22	45258.png	512	512	Default	50	0	19172	22010	0.871059
cid22	5212582.png	512	512	Default	50	0	4102	4086	1.003916
cid22	60003.png	512	512	Default	50	0	20666	23698	0.872057
cid22	7062197.png	512	512	Default	50	0	25860	26308	0.982971
cid22	7394483.png	512	512	Default	50	0	14554	15932	0.913507
cid22	EPICA Delta D Plot.png	512	512	Default	50	0	22630	22790	0.992979
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	0	24494	25996	0.942222
cid22	pexels-photo-1933873.png	512	512	Default	50	0	25074	27506	0.911583
cid22	pexels-photo-3193731.png	512	512	Default	50	0	24916	28366	0.878376
cid22	pexels-photo-4354221.png	512	512	Default	50	0	27634	29738	0.929249
cid22	pexels-photo-7078290.png	512	512	Default	50	0	30196	26274	1.149273
cid22	1001682.png	512	512	Default	50	4	25996	25908	1.003397
cid22	1129482.png	512	512	Default	50	4	7128	6986	1.020326
cid22	1287145.png	512	512	Default	50	4	21334	21028	1.014552
cid22	1454804.png	512	512	Default	50	4	7186	7030	1.022191
cid22	1570264.png	512	512	Default	50	4	40114	38974	1.029250
cid22	162511.png	512	512	Default	50	4	45568	45578	0.999781
cid22	1938351.png	512	512	Default	50	4	8152	8062	1.011163
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	4	25564	25526	1.001489
cid22	225284.png	512	512	Default	50	4	47290	47422	0.997216
cid22	2471234.png	512	512	Default	50	4	6366	6310	1.008875
cid22	262780.png	512	512	Default	50	4	24206	24502	0.987919
cid22	3004909.png	512	512	Default	50	4	19918	19850	1.003426
cid22	3363331.png	512	512	Default	50	4	19020	18868	1.008056
cid22	3623285.png	512	512	Default	50	4	17246	17116	1.007595
cid22	45258.png	512	512	Default	50	4	15582	15436	1.009458
cid22	5212582.png	512	512	Default	50	4	3504	3390	1.033628
cid22	60003.png	512	512	Default	50	4	15948	15956	0.999499
cid22	7062197.png	512	512	Default	50	4	20218	20182	1.001784
cid22	7394483.png	512	512	Default	50	4	11000	10874	1.011587
cid22	EPICA Delta D Plot.png	512	512	Default	50	4	16750	16764	0.999165
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	4	21054	21026	1.001332
cid22	pexels-photo-1933873.png	512	512	Default	50	4	19758	19802	0.997778
cid22	pexels-photo-3193731.png	512	512	Default	50	4	20858	20984	0.993995
cid22	pexels-photo-4354221.png	512	512	Default	50	4	22592	22706	0.994979
cid22	pexels-photo-7078290.png	512	512	Default	50	4	22834	22690	1.006346
cid22	1001682.png	512	512	Default	50	6	24076	24604	0.978540
cid22	1129482.png	512	512	Default	50	6	6778	6698	1.011944
cid22	1287145.png	512	512	Default	50	6	19394	19414	0.998970
cid22	1454804.png	512	512	Default	50	6	6798	6636	1.024412
cid22	1570264.png	512	512	Default	50	6	34396	35626	0.965475
cid22	162511.png	512	512	Default	50	6	42614	43308	0.983975
cid22	1938351.png	512	512	Default	50	6	7872	7690	1.023667
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	6	24684	24646	1.001542
cid22	225284.png	512	512	Default	50	6	43404	44442	0.976644
cid22	2471234.png	512	512	Default	50	6	6396	6238	1.025329
cid22	262780.png	512	512	Default	50	6	21528	22374	0.962188
cid22	3004909.png	512	512	Default	50	6	18862	18856	1.000318
cid22	3363331.png	512	512	Default	50	6	17354	17472	0.993246
cid22	3623285.png	512	512	Default	50	6	15856	15814	1.002656
cid22	45258.png	512	512	Default	50	6	14834	14594	1.016445
cid22	5212582.png	512	512	Default	50	6	3524	3352	1.051313
cid22	60003.png	512	512	Default	50	6	15072	15062	1.000664
cid22	7062197.png	512	512	Default	50	6	19224	19254	0.998442
cid22	7394483.png	512	512	Default	50	6	10576	10368	1.020062
cid22	EPICA Delta D Plot.png	512	512	Default	50	6	16244	16238	1.000370
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	6	20234	20422	0.990794
cid22	pexels-photo-1933873.png	512	512	Default	50	6	18340	18592	0.986446
cid22	pexels-photo-3193731.png	512	512	Default	50	6	19506	19872	0.981582
cid22	pexels-photo-4354221.png	512	512	Default	50	6	21604	21568	1.001669
cid22	pexels-photo-7078290.png	512	512	Default	50	6	20782	21306	0.975406
cid22	1001682.png	512	512	Default	75	0	37992	64672	0.587457
cid22	1129482.png	512	512	Default	75	0	10726	12362	0.867659
cid22	1287145.png	512	512	Default	75	0	30378	44290	0.685888
cid22	1454804.png	512	512	Default	75	0	13706	13234	1.035666
cid22	1570264.png	512	512	Default	75	0	56478	55958	1.009293
cid22	162511.png	512	512	Default	75	0	67328	68512	0.982718
cid22	1938351.png	512	512	Default	75	0	14416	16448	0.876459
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	75	0	38362	39438	0.972717
cid22	225284.png	512	512	Default	75	0	66416	70702	0.939379
cid22	2471234.png	512	512	Default	75	0	10188	10304	0.988742
cid22	262780.png	512	512	Default	75	0	37652	39014	0.965089
cid22	3004909.png	512	512	Default	75	0	31820	33770	0.942256
cid22	3363331.png	512	512	Default	75	0	30188	34882	0.865432
cid22	3623285.png	512	512	Default	75	0	27668	30274	0.913920
cid22	45258.png	512	512	Default	75	0	25534	27606	0.924944
cid22	5212582.png	512	512	Default	75	0	5522	5458	1.011726
cid22	60003.png	512	512	Default	75	0	27950	31032	0.900683
cid22	7062197.png	512	512	Default	75	0	33150	32826	1.009870
cid22	7394483.png	512	512	Default	75	0	19384	21124	0.917629
cid22	EPICA Delta D Plot.png	512	512	Default	75	0	27436	27486	0.998181
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	75	0	30512	32034	0.952488
cid22	pexels-photo-1933873.png	512	512	Default	75	0	33058	35490	0.931474
cid22	pexels-photo-3193731.png	512	512	Default	75	0	33372	37550	0.888735
cid22	pexels-photo-4354221.png	512	512	Default	75	0	36526	38364	0.952091
cid22	pexels-photo-7078290.png	512	512	Default	75	0	41422	37274	1.111284
cid22	1001682.png	512	512	Default	75	4	35868	35268	1.017013
cid22	1129482.png	512	512	Default	75	4	8716	8628	1.010199
cid22	1287145.png	512	512	Default	75	4	28910	28684	1.007879
cid22	1454804.png	512	512	Default	75	4	9590	9526	1.006718
cid22	1570264.png	512	512	Default	75	4	56166	55576	1.010616
cid22	162511.png	512	512	Default	75	4	60168	60324	0.997414
cid22	1938351.png	512	512	Default	75	4	11760	11722	1.003242
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	75	4	32332	32134	1.006162
cid22	225284.png	512	512	Default	75	4	63084	63530	0.992980
cid22	2471234.png	512	512	Default	75	4	8614	8562	1.006073
cid22	262780.png	512	512	Default	75	4	35812	35922	0.996938
cid22	3004909.png	512	512	Default	75	4	26688	26566	1.004592
cid22	3363331.png	512	512	Default	75	4	26608	26580	1.001053
cid22	3623285.png	512	512	Default	75	4	23732	23388	1.014708
cid22	45258.png	512	512	Default	75	4	21176	21112	1.003031
cid22	5212582.png	512	512	Default	75	4	4738	4566	1.037670
cid22	60003.png	512	512	Default	75	4	22018	22250	0.989573
cid22	7062197.png	512	512	Default	75	4	26714	26620	1.003531
cid22	7394483.png	512	512	Default	75	4	14926	15002	0.994934
cid22	EPICA Delta D Plot.png	512	512	Default	75	4	20466	20648	0.991186
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	75	4	26820	26628	1.007210
cid22	pexels-photo-1933873.png	512	512	Default	75	4	26534	26730	0.992667
cid22	pexels-photo-3193731.png	512	512	Default	75	4	28688	28870	0.993696
cid22	pexels-photo-4354221.png	512	512	Default	75	4	30672	30804	0.995715
cid22	pexels-photo-7078290.png	512	512	Default	75	4	32602	32700	0.997003
cid22	1001682.png	512	512	Default	75	6	33466	33576	0.996724
cid22	1129482.png	512	512	Default	75	6	8354	8370	0.998088
cid22	1287145.png	512	512	Default	75	6	26784	26868	0.996874
cid22	1454804.png	512	512	Default	75	6	9066	9036	1.003320
cid22	1570264.png	512	512	Default	75	6	50140	51576	0.972158
cid22	162511.png	512	512	Default	75	6	56886	57810	0.984017
cid22	1938351.png	512	512	Default	75	6	11354	11224	1.011582
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	75	6	31374	31318	1.001788
