corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
cid22	1001682.png	512	512	Default	25	0	17632	26758	0.658943
cid22	1129482.png	512	512	Default	25	0	6578	8182	0.803960
cid22	1287145.png	512	512	Default	25	0	13924	20614	0.675463
cid22	1454804.png	512	512	Default	25	0	7124	6946	1.025626
cid22	1570264.png	512	512	Default	25	0	25136	25662	0.979503
cid22	162511.png	512	512	Default	25	0	36976	39744	0.930354
cid22	1938351.png	512	512	Default	25	0	6398	7564	0.845849
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	0	21778	23122	0.941874
cid22	225284.png	512	512	Default	25	0	33540	39248	0.854566
cid22	2471234.png	512	512	Default	25	0	5142	5292	0.971655
cid22	262780.png	512	512	Default	25	0	15408	16866	0.913554
cid22	3004909.png	512	512	Default	25	0	16974	19264	0.881125
cid22	3363331.png	512	512	Default	25	0	13882	16968	0.818128
cid22	3623285.png	512	512	Default	25	0	13538	15426	0.877609
cid22	45258.png	512	512	Default	25	0	12738	15236	0.836046
cid22	5212582.png	512	512	Default	25	0	2976	2960	1.005405
cid22	60003.png	512	512	Default	25	0	14056	16986	0.827505
cid22	7062197.png	512	512	Default	25	0	17684	18922	0.934574
cid22	7394483.png	512	512	Default	25	0	9676	10666	0.907182
cid22	EPICA Delta D Plot.png	512	512	Default	25	0	17020	17364	0.980189
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	0	17450	19498	0.894964
cid22	pexels-photo-1933873.png	512	512	Default	25	0	17000	19194	0.885693
cid22	pexels-photo-3193731.png	512	512	Default	25	0	16188	20086	0.805934
cid22	pexels-photo-4354221.png	512	512	Default	25	0	18912	21536	0.878158
cid22	pexels-photo-7078290.png	512	512	Default	25	0	20394	17284	1.179935
cid22	1001682.png	512	512	Default	25	4	16258	16152	1.006563
cid22	1129482.png	512	512	Default	25	4	5118	5024	1.018710
cid22	1287145.png	512	512	Default	25	4	12830	12704	1.009918
cid22	1454804.png	512	512	Default	25	4	5092	4994	1.019624
cid22	1570264.png	512	512	Default	25	4	23272	23230	1.001808
cid22	162511.png	512	512	Default	25	4	31074	31156	0.997368
cid22	1938351.png	512	512	Default	25	4	5296	5286	1.001892
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	4	17584	17726	0.991989
cid22	225284.png	512	512	Default	25	4	30704	30886	0.994107
cid22	2471234.png	512	512	Default	25	4	4612	4508	1.023070
cid22	262780.png	512	512	Default	25	4	14368	14192	1.012401
cid22	3004909.png	512	512	Default	25	4	13350	13478	0.990503
cid22	3363331.png	512	512	Default	25	4	11656	11732	0.993522
cid22	3623285.png	512	512	Default	25	4	10856	10882	0.997611
cid22	45258.png	512	512	Default	25	4	10180	10058	1.012130
cid22	5212582.png	512	512	Default	25	4	2618	2504	1.045527
cid22	60003.png	512	512	Default	25	4	10630	10506	1.011803
cid22	7062197.png	512	512	Default	25	4	13568	13552	1.001181
cid22	7394483.png	512	512	Default	25	4	7340	7308	1.004379
cid22	EPICA Delta D Plot.png	512	512	Default	25	4	12292	12248	1.003592
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	4	14872	15018	0.990278
cid22	pexels-photo-1933873.png	512	512	Default	25	4	12808	12906	0.992407
cid22	pexels-photo-3193731.png	512	512	Default	25	4	13358	13228	1.009828
cid22	pexels-photo-4354221.png	512	512	Default	25	4	15146	15160	0.999077
cid22	pexels-photo-7078290.png	512	512	Default	25	4	14404	14526	0.991601
cid22	1001682.png	512	512	Default	25	6	14836	15014	0.988144
cid22	1129482.png	512	512	Default	25	6	4870	4772	1.020536
cid22	1287145.png	512	512	Default	25	6	11710	11434	1.024139
cid22	1454804.png	512	512	Default	25	6	4900	4702	1.042110
cid22	1570264.png	512	512	Default	25	6	20540	20648	0.994769
cid22	162511.png	512	512	Default	25	6	28974	29064	0.996903
cid22	1938351.png	512	512	Default	25	6	5122	5098	1.004708
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	6	16978	16916	1.003665
cid22	225284.png	512	512	Default	25	6	28228	28518	0.989831
cid22	2471234.png	512	512	Default	25	6	4614	4486	1.028533
cid22	262780.png	512	512	Default	25	6	13058	13088	0.997708
cid22	3004909.png	512	512	Default	25	6	12588	12586	1.000159
cid22	3363331.png	512	512	Default	25	6	10822	10874	0.995218
cid22	3623285.png	512	512	Default	25	6	10016	9990	1.002603
cid22	45258.png	512	512	Default	25	6	9804	9526	1.029183
cid22	5212582.png	512	512	Default	25	6	2572	2480	1.037097
cid22	60003.png	512	512	Default	25	6	10124	10004	1.011995
cid22	7062197.png	512	512	Default	25	6	12864	12842	1.001713
cid22	7394483.png	512	512	Default	25	6	7088	7014	1.010550
cid22	EPICA Delta D Plot.png	512	512	Default	25	6	11732	11698	1.002906
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	6	14142	14248	0.992560
cid22	pexels-photo-1933873.png	512	512	Default	25	6	12052	12164	0.990793
cid22	pexels-photo-3193731.png	512	512	Default	25	6	12646	12548	1.007810
cid22	pexels-photo-4354221.png	512	512	Default	25	6	14192	14352	0.988852
cid22	pexels-photo-7078290.png	512	512	Default	25	6	13700	13664	1.002635
cid22	1001682.png	512	512	Default	50	0	28242	43188	0.653932
cid22	1129482.png	512	512	Default	50	0	8972	10452	0.858400
cid22	1287145.png	512	512	Default	50	0	22630	31740	0.712980
cid22	1454804.png	512	512	Default	50	0	10234	10282	0.995332
cid22	1570264.png	512	512	Default	50	0	41118	42600	0.965211
cid22	162511.png	512	512	Default	50	0	52200	53800	0.970260
cid22	1938351.png	512	512	Default	50	0	9976	11304	0.882519
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	0	30848	32152	0.959443
