corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
cid22	1001682.png	512	512	Default	25	0	17632	26758	0.658943
cid22	1129482.png	512	512	Default	25	0	6578	8182	0.803960
cid22	1287145.png	512	512	Default	25	0	13924	20614	0.675463
cid22	1454804.png	512	512	Default	25	0	7124	6946	1.025626
cid22	1570264.png	512	512	Default	25	0	25136	25662	0.979503
cid22	162511.png	512	512	Default	25	0	36976	39744	0.930354
cid22	1938351.png	512	512	Default	25	0	6398	7564	0.845849
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	0	21778	23122	0.941874
cid22	225284.png	512	512	Default	25	0	33540	39248	0.854566
cid22	2471234.png	512	512	Default	25	0	5142	5292	0.971655
cid22	262780.png	512	512	Default	25	0	15408	16866	0.913554
cid22	3004909.png	512	512	Default	25	0	16974	19264	0.881125
cid22	3363331.png	512	512	Default	25	0	13882	16968	0.818128
cid22	3623285.png	512	512	Default	25	0	13538	15426	0.877609
cid22	45258.png	512	512	Default	25	0	12738	15236	0.836046
cid22	5212582.png	512	512	Default	25	0	2976	2960	1.005405
cid22	60003.png	512	512	Default	25	0	14056	16986	0.827505
cid22	7062197.png	512	512	Default	25	0	17684	18922	0.934574
cid22	7394483.png	512	512	Default	25	0	9676	10666	0.907182
cid22	EPICA Delta D Plot.png	512	512	Default	25	0	17020	17364	0.980189
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	0	17450	19498	0.894964
cid22	pexels-photo-1933873.png	512	512	Default	25	0	17000	19194	0.885693
cid22	pexels-photo-3193731.png	512	512	Default	25	0	16188	20086	0.805934
cid22	pexels-photo-4354221.png	512	512	Default	25	0	18912	21536	0.878158
cid22	pexels-photo-7078290.png	512	512	Default	25	0	20394	17284	1.179935
cid22	1001682.png	512	512	Default	25	4	16488	16152	1.020802
cid22	1129482.png	512	512	Default	25	4	5112	5024	1.017516
cid22	1287145.png	512	512	Default	25	4	12874	12704	1.013382
cid22	1454804.png	512	512	Default	25	4	5104	4994	1.022026
cid22	1570264.png	512	512	Default	25	4	23660	23230	1.018511
cid22	162511.png	512	512	Default	25	4	31150	31156	0.999807
cid22	1938351.png	512	512	Default	25	4	5302	5286	1.003027
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	4	17624	17726	0.994246
cid22	225284.png	512	512	Default	25	4	30804	30886	0.997345
cid22	2471234.png	512	512	Default	25	4	4634	4508	1.027950
cid22	262780.png	512	512	Default	25	4	14418	14192	1.015924
cid22	3004909.png	512	512	Default	25	4	13510	13478	1.002374
cid22	3363331.png	512	512	Default	25	4	11736	11732	1.000341
cid22	3623285.png	512	512	Default	25	4	10910	10882	1.002573
cid22	45258.png	512	512	Default	25	4	10264	10058	1.020481
cid22	5212582.png	512	512	Default	25	4	2594	2504	1.035942
cid22	60003.png	512	512	Default	25	4	10694	10506	1.017895
cid22	7062197.png	512	512	Default	25	4	13554	13552	1.000148
cid22	7394483.png	512	512	Default	25	4	7378	7308	1.009579
cid22	EPICA Delta D Plot.png	512	512	Default	25	4	12248	12248	1.000000
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	4	14808	15018	0.986017
cid22	pexels-photo-1933873.png	512	512	Default	25	4	12870	12906	0.997211
cid22	pexels-photo-3193731.png	512	512	Default	25	4	13384	13228	1.011793
cid22	pexels-photo-4354221.png	512	512	Default	25	4	15168	15160	1.000528
cid22	pexels-photo-7078290.png	512	512	Default	25	4	14568	14526	1.002891
cid22	1001682.png	512	512	Default	25	6	14578	15014	0.970960
cid22	1129482.png	512	512	Default	25	6	4836	4772	1.013412
cid22	1287145.png	512	512	Default	25	6	11578	11434	1.012594
cid22	1454804.png	512	512	Default	25	6	4918	4702	1.045938
cid22	1570264.png	512	512	Default	25	6	19952	20648	0.966292
cid22	162511.png	512	512	Default	25	6	28602	29064	0.984104
cid22	1938351.png	512	512	Default	25	6	5186	5098	1.017262
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	6	16798	16916	0.993024
cid22	225284.png	512	512	Default	25	6	27794	28518	0.974613
cid22	2471234.png	512	512	Default	25	6	4624	4486	1.030762
cid22	262780.png	512	512	Default	25	6	12914	13088	0.986705
cid22	3004909.png	512	512	Default	25	6	12588	12586	1.000159
cid22	3363331.png	512	512	Default	25	6	10836	10874	0.996505
cid22	3623285.png	512	512	Default	25	6	9998	9990	1.000801
cid22	45258.png	512	512	Default	25	6	9794	9526	1.028134
cid22	5212582.png	512	512	Default	25	6	2600	2480	1.048387
cid22	60003.png	512	512	Default	25	6	10248	10004	1.024390
cid22	7062197.png	512	512	Default	25	6	12862	12842	1.001557
cid22	7394483.png	512	512	Default	25	6	7134	7014	1.017109
cid22	EPICA Delta D Plot.png	512	512	Default	25	6	11718	11698	1.001710
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	6	13986	14248	0.981611
cid22	pexels-photo-1933873.png	512	512	Default	25	6	12176	12164	1.000987
cid22	pexels-photo-3193731.png	512	512	Default	25	6	12622	12548	1.005897
cid22	pexels-photo-4354221.png	512	512	Default	25	6	14244	14352	0.992475
cid22	pexels-photo-7078290.png	512	512	Default	25	6	13528	13664	0.990047
cid22	1001682.png	512	512	Default	50	0	28242	43188	0.653932
cid22	1129482.png	512	512	Default	50	0	8972	10452	0.858400
cid22	1287145.png	512	512	Default	50	0	22630	31740	0.712980
cid22	1454804.png	512	512	Default	50	0	10234	10282	0.995332
cid22	1570264.png	512	512	Default	50	0	41118	42600	0.965211
cid22	162511.png	512	512	Default	50	0	52200	53800	0.970260
cid22	1938351.png	512	512	Default	50	0	9976	11304	0.882519
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	0	30848	32152	0.959443
