corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
cid22	1001682.png	512	512	Default	25	0	17630	26758	0.658868
cid22	1129482.png	512	512	Default	25	0	6576	8182	0.803715
cid22	1287145.png	512	512	Default	25	0	13924	20614	0.675463
cid22	1454804.png	512	512	Default	25	0	7122	6946	1.025338
cid22	1570264.png	512	512	Default	25	0	25134	25662	0.979425
cid22	162511.png	512	512	Default	25	0	36974	39744	0.930304
cid22	1938351.png	512	512	Default	25	0	6396	7564	0.845584
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	0	21778	23122	0.941874
cid22	225284.png	512	512	Default	25	0	33538	39248	0.854515
cid22	2471234.png	512	512	Default	25	0	5140	5292	0.971277
cid22	262780.png	512	512	Default	25	0	15406	16866	0.913435
cid22	3004909.png	512	512	Default	25	0	16972	19264	0.881022
cid22	3363331.png	512	512	Default	25	0	13880	16968	0.818010
cid22	3623285.png	512	512	Default	25	0	13538	15426	0.877609
cid22	45258.png	512	512	Default	25	0	12736	15236	0.835915
cid22	5212582.png	512	512	Default	25	0	2974	2960	1.004730
cid22	60003.png	512	512	Default	25	0	14054	16986	0.827387
cid22	7062197.png	512	512	Default	25	0	17684	18922	0.934574
cid22	7394483.png	512	512	Default	25	0	9674	10666	0.906994
cid22	EPICA Delta D Plot.png	512	512	Default	25	0	17018	17364	0.980074
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	0	17450	19498	0.894964
cid22	pexels-photo-1933873.png	512	512	Default	25	0	16998	19194	0.885589
cid22	pexels-photo-3193731.png	512	512	Default	25	0	16186	20086	0.805835
cid22	pexels-photo-4354221.png	512	512	Default	25	0	18912	21536	0.878158
cid22	pexels-photo-7078290.png	512	512	Default	25	0	20392	17284	1.179819
cid22	1001682.png	512	512	Default	25	4	16258	16152	1.006563
cid22	1129482.png	512	512	Default	25	4	5114	5024	1.017914
cid22	1287145.png	512	512	Default	25	4	12828	12704	1.009761
cid22	1454804.png	512	512	Default	25	4	5090	4994	1.019223
cid22	1570264.png	512	512	Default	25	4	23272	23230	1.001808
cid22	162511.png	512	512	Default	25	4	31072	31156	0.997304
cid22	1938351.png	512	512	Default	25	4	5294	5286	1.001513
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	4	17582	17726	0.991876
cid22	225284.png	512	512	Default	25	4	30704	30886	0.994107
cid22	2471234.png	512	512	Default	25	4	4612	4508	1.023070
cid22	262780.png	512	512	Default	25	4	14366	14192	1.012260
cid22	3004909.png	512	512	Default	25	4	13348	13478	0.990355
cid22	3363331.png	512	512	Default	25	4	11654	11732	0.993352
cid22	3623285.png	512	512	Default	25	4	10854	10882	0.997427
cid22	45258.png	512	512	Default	25	4	10178	10058	1.011931
cid22	5212582.png	512	512	Default	25	4	2614	2504	1.043930
cid22	60003.png	512	512	Default	25	4	10628	10506	1.011612
cid22	7062197.png	512	512	Default	25	4	13566	13552	1.001033
cid22	7394483.png	512	512	Default	25	4	7338	7308	1.004105
cid22	EPICA Delta D Plot.png	512	512	Default	25	4	12292	12248	1.003592
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	4	14870	15018	0.990145
cid22	pexels-photo-1933873.png	512	512	Default	25	4	12806	12906	0.992252
cid22	pexels-photo-3193731.png	512	512	Default	25	4	13356	13228	1.009676
cid22	pexels-photo-4354221.png	512	512	Default	25	4	15146	15160	0.999077
cid22	pexels-photo-7078290.png	512	512	Default	25	4	14402	14526	0.991464
cid22	1001682.png	512	512	Default	25	6	14578	15014	0.970960
cid22	1129482.png	512	512	Default	25	6	4832	4772	1.012573
cid22	1287145.png	512	512	Default	25	6	11576	11434	1.012419
cid22	1454804.png	512	512	Default	25	6	4916	4702	1.045513
cid22	1570264.png	512	512	Default	25	6	19950	20648	0.966195
cid22	162511.png	512	512	Default	25	6	28600	29064	0.984035
cid22	1938351.png	512	512	Default	25	6	5184	5098	1.016869
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	6	16796	16916	0.992906
cid22	225284.png	512	512	Default	25	6	27792	28518	0.974542
cid22	2471234.png	512	512	Default	25	6	4620	4486	1.029871
cid22	262780.png	512	512	Default	25	6	12914	13088	0.986705
cid22	3004909.png	512	512	Default	25	6	12586	12586	1.000000
cid22	3363331.png	512	512	Default	25	6	10836	10874	0.996505
cid22	3623285.png	512	512	Default	25	6	9998	9990	1.000801
cid22	45258.png	512	512	Default	25	6	9792	9526	1.027924
cid22	5212582.png	512	512	Default	25	6	2598	2480	1.047581
cid22	60003.png	512	512	Default	25	6	10248	10004	1.024390
cid22	7062197.png	512	512	Default	25	6	12860	12842	1.001402
cid22	7394483.png	512	512	Default	25	6	7130	7014	1.016538
cid22	EPICA Delta D Plot.png	512	512	Default	25	6	11716	11698	1.001539
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	6	13984	14248	0.981471
cid22	pexels-photo-1933873.png	512	512	Default	25	6	12176	12164	1.000987
cid22	pexels-photo-3193731.png	512	512	Default	25	6	12622	12548	1.005897
cid22	pexels-photo-4354221.png	512	512	Default	25	6	14242	14352	0.992336
cid22	pexels-photo-7078290.png	512	512	Default	25	6	13526	13664	0.989900
cid22	1001682.png	512	512	Default	75	0	38010	64672	0.587735
cid22	1129482.png	512	512	Default	75	0	10732	12362	0.868144
cid22	1287145.png	512	512	Default	75	0	30398	44290	0.686340
cid22	1454804.png	512	512	Default	75	0	13714	13234	1.036270
cid22	1570264.png	512	512	Default	75	0	56474	55958	1.009221
cid22	162511.png	512	512	Default	75	0	67290	68512	0.982164
cid22	1938351.png	512	512	Default	75	0	14422	16448	0.876824
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	75	0	38336	39438	0.972057
cid22	225284.png	512	512	Default	75	0	66404	70702	0.939210
cid22	2471234.png	512	512	Default	75	0	10158	10304	0.985831
cid22	262780.png	512	512	Default	75	0	37650	39014	0.965038
cid22	3004909.png	512	512	Default	75	0	31840	33770	0.942849
cid22	3363331.png	512	512	Default	75	0	30170	34882	0.864916
cid22	3623285.png	512	512	Default	75	0	27664	30274	0.913787
cid22	45258.png	512	512	Default	75	0	25518	27606	0.924364
cid22	5212582.png	512	512	Default	75	0	5532	5458	1.013558
cid22	60003.png	512	512	Default	75	0	27954	31032	0.900812
cid22	7062197.png	512	512	Default	75	0	33134	32826	1.009383
cid22	7394483.png	512	512	Default	75	0	19368	21124	0.916872
cid22	EPICA Delta D Plot.png	512	512	Default	75	0	27412	27486	0.997308
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	75	0	30518	32034	0.952675
cid22	pexels-photo-1933873.png	512	512	Default	75	0	33040	35490	0.930966
cid22	pexels-photo-3193731.png	512	512	Default	75	0	33360	37550	0.888415
cid22	pexels-photo-4354221.png	512	512	Default	75	0	36498	38364	0.951361
cid22	pexels-photo-7078290.png	512	512	Default	75	0	41418	37274	1.111177
cid22	1001682.png	512	512	Default	75	4	35834	35268	1.016049
cid22	1129482.png	512	512	Default	75	4	8792	8628	1.019008
cid22	1287145.png	512	512	Default	75	4	28990	28684	1.010668
cid22	1454804.png	512	512	Default	75	4	9550	9526	1.002519
cid22	1570264.png	512	512	Default	75	4	55958	55576	1.006873
cid22	162511.png	512	512	Default	75	4	60414	60324	1.001492
cid22	1938351.png	512	512	Default	75	4	11774	11722	1.004436
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	75	4	32218	32134	1.002614
cid22	225284.png	512	512	Default	75	4	63172	63530	0.994365
cid22	2471234.png	512	512	Default	75	4	8472	8562	0.989488
cid22	262780.png	512	512	Default	75	4	35666	35922	0.992873
cid22	3004909.png	512	512	Default	75	4	26802	26566	1.008884
cid22	3363331.png	512	512	Default	75	4	26650	26580	1.002634
cid22	3623285.png	512	512	Default	75	4	23792	23388	1.017274
cid22	45258.png	512	512	Default	75	4	21202	21112	1.004263
cid22	5212582.png	512	512	Default	75	4	4744	4566	1.038984
cid22	60003.png	512	512	Default	75	4	21996	22250	0.988584
cid22	7062197.png	512	512	Default	75	4	26574	26620	0.998272
cid22	7394483.png	512	512	Default	75	4	14938	15002	0.995734
cid22	EPICA Delta D Plot.png	512	512	Default	75	4	20482	20648	0.991960
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	75	4	26754	26628	1.004732
cid22	pexels-photo-1933873.png	512	512	Default	75	4	26558	26730	0.993565
cid22	pexels-photo-3193731.png	512	512	Default	75	4	28680	28870	0.993419
cid22	pexels-photo-4354221.png	512	512	Default	75	4	30636	30804	0.994546
cid22	pexels-photo-7078290.png	512	512	Default	75	4	32558	32700	0.995657
cid22	1001682.png	512	512	Default	75	6	33486	33576	0.997320
cid22	1129482.png	512	512	Default	75	6	8340	8370	0.996416
cid22	1287145.png	512	512	Default	75	6	26832	26868	0.998660
cid22	1454804.png	512	512	Default	75	6	9116	9036	1.008853
cid22	1570264.png	512	512	Default	75	6	50154	51576	0.972429
cid22	162511.png	512	512	Default	75	6	56856	57810	0.983498
cid22	1938351.png	512	512	Default	75	6	11384	11224	1.014255
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	75	6	31424	31318	1.003385
cid22	225284.png	512	512	Default	75	6	58956	60422	0.975737
cid22	2471234.png	512	512	Default	75	6	8578	8502	1.008939
cid22	262780.png	512	512	Default	75	6	32106	33258	0.965362
cid22	3004909.png	512	512	Default	75	6	25270	25500	0.990980
cid22	3363331.png	512	512	Default	75	6	24850	24930	0.996791
