corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
cid22	1001682.png	512	512	Default	5	0	8588	12088	0.710457
cid22	1080721.png	512	512	Default	5	0	7800	8382	0.930565
cid22	1129482.png	512	512	Default	5	0	4268	5242	0.814193
cid22	1183021.png	512	512	Default	5	0	2972	3862	0.769549
cid22	1287145.png	512	512	Default	5	0	6728	9374	0.717730
cid22	1424246.png	512	512	Default	5	0	7206	7874	0.915164
cid22	1454804.png	512	512	Default	5	0	3994	3814	1.047195
cid22	1484678.png	512	512	Default	5	0	7220	8132	0.887850
cid22	1570264.png	512	512	Default	5	0	10254	9640	1.063693
cid22	1599791.png	512	512	Default	5	0	8528	9324	0.914629
cid22	162511.png	512	512	Default	5	0	20418	21724	0.939882
cid22	1687147.png	512	512	Default	5	0	6652	7492	0.887880
cid22	1938351.png	512	512	Default	5	0	3426	3712	0.922953
cid22	2062426.png	512	512	Default	5	0	10940	10696	1.022812
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	5	0	13016	13918	0.935192
cid22	2156881.png	512	512	Default	5	0	5972	6598	0.905123
cid22	225284.png	512	512	Default	5	0	17558	20458	0.858246
cid22	2387532-srgb.png	512	512	Default	5	0	10180	11384	0.894238
cid22	2471234.png	512	512	Default	5	0	3376	3694	0.913914
cid22	2599868.png	512	512	Default	5	0	6532	7122	0.917158
cid22	262780.png	512	512	Default	5	0	6676	6752	0.988744
cid22	271619.png	512	512	Default	5	0	3842	4042	0.950520
cid22	3004909.png	512	512	Default	5	0	9714	10980	0.884699
cid22	33162.png	512	512	Default	5	0	17310	19756	0.876190
cid22	3363331.png	512	512	Default	5	0	7102	8352	0.850335
cid22	3571065.png	512	512	Default	5	0	32428	34478	0.940542
cid22	3623285.png	512	512	Default	5	0	6872	7662	0.896894
cid22	3794859.png	512	512	Default	5	0	8874	10070	0.881231
cid22	45258.png	512	512	Default	5	0	6998	8062	0.868023
cid22	4934193.png	512	512	Default	5	0	6814	8044	0.847091
cid22	5212582.png	512	512	Default	5	0	2010	2148	0.935754
cid22	5617414.png	512	512	Default	5	0	10542	11444	0.921181
cid22	60003.png	512	512	Default	5	0	8000	9284	0.861698
cid22	670530.png	512	512	Default	5	0	3988	4444	0.897390
cid22	7062197.png	512	512	Default	5	0	10252	10788	0.950315
