corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
cid22	1001682.png	512	512	Default	25	0	17630	26758	0.658868
cid22	1129482.png	512	512	Default	25	0	6576	8182	0.803715
cid22	1287145.png	512	512	Default	25	0	13924	20614	0.675463
cid22	1454804.png	512	512	Default	25	0	7122	6946	1.025338
cid22	1570264.png	512	512	Default	25	0	25134	25662	0.979425
cid22	162511.png	512	512	Default	25	0	36974	39744	0.930304
cid22	1938351.png	512	512	Default	25	0	6396	7564	0.845584
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	0	21778	23122	0.941874
cid22	225284.png	512	512	Default	25	0	33538	39248	0.854515
cid22	2471234.png	512	512	Default	25	0	5140	5292	0.971277
cid22	262780.png	512	512	Default	25	0	15406	16866	0.913435
cid22	3004909.png	512	512	Default	25	0	16972	19264	0.881022
cid22	3363331.png	512	512	Default	25	0	13880	16968	0.818010
cid22	3623285.png	512	512	Default	25	0	13538	15426	0.877609
cid22	45258.png	512	512	Default	25	0	12736	15236	0.835915
cid22	5212582.png	512	512	Default	25	0	2974	2960	1.004730
cid22	60003.png	512	512	Default	25	0	14054	16986	0.827387
cid22	7062197.png	512	512	Default	25	0	17684	18922	0.934574
cid22	7394483.png	512	512	Default	25	0	9674	10666	0.906994
cid22	EPICA Delta D Plot.png	512	512	Default	25	0	17018	17364	0.980074
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	0	17450	19498	0.894964
cid22	pexels-photo-1933873.png	512	512	Default	25	0	16998	19194	0.885589
cid22	pexels-photo-3193731.png	512	512	Default	25	0	16186	20086	0.805835
cid22	pexels-photo-4354221.png	512	512	Default	25	0	18912	21536	0.878158
cid22	pexels-photo-7078290.png	512	512	Default	25	0	20392	17284	1.179819
cid22	1001682.png	512	512	Default	25	4	16258	16152	1.006563
cid22	1129482.png	512	512	Default	25	4	5114	5024	1.017914
cid22	1287145.png	512	512	Default	25	4	12828	12704	1.009761
cid22	1454804.png	512	512	Default	25	4	5090	4994	1.019223
cid22	1570264.png	512	512	Default	25	4	23272	23230	1.001808
cid22	162511.png	512	512	Default	25	4	31072	31156	0.997304
cid22	1938351.png	512	512	Default	25	4	5294	5286	1.001513
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	4	17582	17726	0.991876
cid22	225284.png	512	512	Default	25	4	30704	30886	0.994107
cid22	2471234.png	512	512	Default	25	4	4612	4508	1.023070
cid22	262780.png	512	512	Default	25	4	14366	14192	1.012260
cid22	3004909.png	512	512	Default	25	4	13348	13478	0.990355
cid22	3363331.png	512	512	Default	25	4	11654	11732	0.993352
cid22	3623285.png	512	512	Default	25	4	10854	10882	0.997427
cid22	45258.png	512	512	Default	25	4	10178	10058	1.011931
cid22	5212582.png	512	512	Default	25	4	2614	2504	1.043930
cid22	60003.png	512	512	Default	25	4	10628	10506	1.011612
cid22	7062197.png	512	512	Default	25	4	13566	13552	1.001033
cid22	7394483.png	512	512	Default	25	4	7338	7308	1.004105
cid22	EPICA Delta D Plot.png	512	512	Default	25	4	12292	12248	1.003592
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	4	14870	15018	0.990145
cid22	pexels-photo-1933873.png	512	512	Default	25	4	12806	12906	0.992252
cid22	pexels-photo-3193731.png	512	512	Default	25	4	13356	13228	1.009676
cid22	pexels-photo-4354221.png	512	512	Default	25	4	15146	15160	0.999077
cid22	pexels-photo-7078290.png	512	512	Default	25	4	14402	14526	0.991464
cid22	1001682.png	512	512	Default	25	6	14548	15014	0.968962
cid22	1129482.png	512	512	Default	25	6	4822	4772	1.010478
cid22	1287145.png	512	512	Default	25	6	11574	11434	1.012244
cid22	1454804.png	512	512	Default	25	6	4926	4702	1.047639
cid22	1570264.png	512	512	Default	25	6	19948	20648	0.966098
cid22	162511.png	512	512	Default	25	6	28498	29064	0.980526
cid22	1938351.png	512	512	Default	25	6	5190	5098	1.018046
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	25	6	16818	16916	0.994207
cid22	225284.png	512	512	Default	25	6	27758	28518	0.973350
cid22	2471234.png	512	512	Default	25	6	4620	4486	1.029871
cid22	262780.png	512	512	Default	25	6	12986	13088	0.992207
cid22	3004909.png	512	512	Default	25	6	12594	12586	1.000636
cid22	3363331.png	512	512	Default	25	6	10798	10874	0.993011
cid22	3623285.png	512	512	Default	25	6	9972	9990	0.998198
cid22	45258.png	512	512	Default	25	6	9776	9526	1.026244
cid22	5212582.png	512	512	Default	25	6	2600	2480	1.048387
cid22	60003.png	512	512	Default	25	6	10238	10004	1.023391
cid22	7062197.png	512	512	Default	25	6	12854	12842	1.000934
cid22	7394483.png	512	512	Default	25	6	7102	7014	1.012546
cid22	EPICA Delta D Plot.png	512	512	Default	25	6	11640	11698	0.995042
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	25	6	13970	14248	0.980488
cid22	pexels-photo-1933873.png	512	512	Default	25	6	12114	12164	0.995890
cid22	pexels-photo-3193731.png	512	512	Default	25	6	12674	12548	1.010041
cid22	pexels-photo-4354221.png	512	512	Default	25	6	14234	14352	0.991778
cid22	pexels-photo-7078290.png	512	512	Default	25	6	13306	13664	0.973800
cid22	1001682.png	512	512	Default	50	0	28240	43188	0.653885
cid22	1129482.png	512	512	Default	50	0	8970	10452	0.858209
cid22	1287145.png	512	512	Default	50	0	22628	31740	0.712917
cid22	1454804.png	512	512	Default	50	0	10232	10282	0.995137
cid22	1570264.png	512	512	Default	50	0	41116	42600	0.965164
cid22	162511.png	512	512	Default	50	0	52198	53800	0.970223
cid22	1938351.png	512	512	Default	50	0	9974	11304	0.882343
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	0	30848	32152	0.959443
cid22	225284.png	512	512	Default	50	0	50812	53728	0.945727
cid22	2471234.png	512	512	Default	50	0	7358	7588	0.969689
cid22	262780.png	512	512	Default	50	0	26140	26920	0.971025
cid22	3004909.png	512	512	Default	50	0	24348	26580	0.916027
cid22	3363331.png	512	512	Default	50	0	21924	25254	0.868140
cid22	3623285.png	512	512	Default	50	0	20718	22556	0.918514
cid22	45258.png	512	512	Default	50	0	19176	22010	0.871240
cid22	5212582.png	512	512	Default	50	0	4118	4086	1.007832
cid22	60003.png	512	512	Default	50	0	20640	23698	0.870960
cid22	7062197.png	512	512	Default	50	0	25862	26308	0.983047
cid22	7394483.png	512	512	Default	50	0	14546	15932	0.913005
cid22	EPICA Delta D Plot.png	512	512	Default	50	0	22668	22790	0.994647
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	0	24518	25996	0.943145
cid22	pexels-photo-1933873.png	512	512	Default	50	0	25048	27506	0.910638
cid22	pexels-photo-3193731.png	512	512	Default	50	0	24916	28366	0.878376
cid22	pexels-photo-4354221.png	512	512	Default	50	0	27630	29738	0.929114
cid22	pexels-photo-7078290.png	512	512	Default	50	0	30196	26274	1.149273
cid22	1001682.png	512	512	Default	50	4	25742	25908	0.993593
cid22	1129482.png	512	512	Default	50	4	7126	6986	1.020040
cid22	1287145.png	512	512	Default	50	4	21250	21028	1.010557
cid22	1454804.png	512	512	Default	50	4	7090	7030	1.008535
cid22	1570264.png	512	512	Default	50	4	39722	38974	1.019192
cid22	162511.png	512	512	Default	50	4	45740	45578	1.003554
cid22	1938351.png	512	512	Default	50	4	8066	8062	1.000496
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	4	25520	25526	0.999765
cid22	225284.png	512	512	Default	50	4	47288	47422	0.997174
cid22	2471234.png	512	512	Default	50	4	6304	6310	0.999049
cid22	262780.png	512	512	Default	50	4	24120	24502	0.984409
cid22	3004909.png	512	512	Default	50	4	19848	19850	0.999899
cid22	3363331.png	512	512	Default	50	4	18972	18868	1.005512
cid22	3623285.png	512	512	Default	50	4	17176	17116	1.003505
cid22	45258.png	512	512	Default	50	4	15600	15436	1.010625
cid22	5212582.png	512	512	Default	50	4	3510	3390	1.035398
cid22	60003.png	512	512	Default	50	4	15908	15956	0.996992
cid22	7062197.png	512	512	Default	50	4	20204	20182	1.001090
cid22	7394483.png	512	512	Default	50	4	10908	10874	1.003127
cid22	EPICA Delta D Plot.png	512	512	Default	50	4	16780	16764	1.000954
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	4	21012	21026	0.999334
cid22	pexels-photo-1933873.png	512	512	Default	50	4	19744	19802	0.997071
cid22	pexels-photo-3193731.png	512	512	Default	50	4	20806	20984	0.991517
cid22	pexels-photo-4354221.png	512	512	Default	50	4	22558	22706	0.993482
cid22	pexels-photo-7078290.png	512	512	Default	50	4	22684	22690	0.999736
cid22	1001682.png	512	512	Default	50	6	24068	24604	0.978215
cid22	1129482.png	512	512	Default	50	6	6782	6698	1.012541
cid22	1287145.png	512	512	Default	50	6	19384	19414	0.998455
cid22	1454804.png	512	512	Default	50	6	6820	6636	1.027728
cid22	1570264.png	512	512	Default	50	6	34334	35626	0.963734
cid22	162511.png	512	512	Default	50	6	42486	43308	0.981020
cid22	1938351.png	512	512	Default	50	6	7842	7690	1.019766
cid22	21169144185_3f7977cb5a_o.png	512	512	Default	50	6	24612	24646	0.998620
cid22	225284.png	512	512	Default	50	6	43430	44442	0.977229
cid22	2471234.png	512	512	Default	50	6	6392	6238	1.024687
cid22	262780.png	512	512	Default	50	6	21422	22374	0.957451
cid22	3004909.png	512	512	Default	50	6	18896	18856	1.002121
cid22	3363331.png	512	512	Default	50	6	17306	17472	0.990499
